Date,Pivot Point,Support Level 1,Support Level 2,Resistance Level 1,Resistance Level 2
2010-01-04,7.629642804463704,7.598571459452311,7.553928693135579,7.674285570780436,7.705356915791829
2010-01-05,7.657381057739258,7.615118980407715,7.5738091468811035,7.698690891265869,7.740952968597412
2010-01-06,7.582738399505615,7.4786906242370605,7.422738075256348,7.638690948486328,7.742738723754883
2010-01-07,7.519404570261638,7.467380364735922,7.414046923319499,7.5727380116780605,7.624762217203776
2010-01-08,7.536190668741862,7.500952561696371,7.431191126505534,7.605952103932699,7.64119021097819
2010-01-11,7.518571694691976,7.4300004641215,7.356071790059407,7.592500368754068,7.681071599324544
2010-01-12,7.427499930063884,7.3632138570149746,7.307856718699138,7.482857068379721,7.54714314142863
2010-01-13,7.44857136408488,7.363928635915121,7.2046434084574384,7.607856591542562,7.692499319712321
2010-01-14,7.487023989359538,7.457619031270346,7.435595194498698,7.5090478261311855,7.538452784220378
2010-01-15,7.421428680419922,7.285714149475098,7.216785430908203,7.490357398986816,7.626071929931641
2010-01-19,7.588928699493408,7.492500305175781,7.3050007820129395,7.77642822265625,7.872856616973877
2010-01-20,7.580714384714763,7.463214715321859,7.364643255869548,7.679285844167074,7.7967855135599775
2010-01-21,7.483213901519775,7.3482136726379395,7.265356540679932,7.566071033477783,7.701071262359619
2010-01-22,7.171547730763753,6.932381312052408,6.802262624104817,7.301666418711344,7.5408328374226885
2010-01-25,7.237618923187256,7.164524078369141,7.076548099517822,7.325594902038574,7.3986897468566895
2010-01-26,7.407500108083089,7.182500044504801,7.010000069936116,7.5800000826517735,7.8050001462300616
2010-01-27,7.357023557027181,7.193333307902018,6.962380727132161,7.587976137797037,7.7516663869222
2010-01-28,7.1844048500061035,7.029523849487305,6.941547870635986,7.272380828857422,7.427261829376221
2010-01-29,6.958452542622884,6.6954762140909825,6.53166659673055,7.1222621599833165,7.385238488515218
2010-02-01,6.92892853418986,6.857857068379721,6.76107136408488,7.025714238484701,7.096785704294841
2010-02-02,6.97095251083374,6.930476188659668,6.865952491760254,7.035476207733154,7.075952529907227
2010-02-03,7.069642702738444,6.989285310109457,6.863213698069255,7.195714314778646,7.276071707407634
2010-02-04,6.928452650705974,6.772262414296469,6.685595671335856,7.015119393666586,7.171309630076091
2010-02-05,6.9322616259257,6.8645232518514,6.748332659403483,7.048452218373617,7.116190592447917
2010-02-08,6.976190408070882,6.88523785273234,6.8376186688741045,7.023809591929117,7.114762147267659
2010-02-09,7.005238056182861,6.956904888153076,6.907023906707764,7.055119037628174,7.103452205657959
2010-02-10,6.9759524663289385,6.930475870768229,6.892380555470784,7.014047781626383,7.059524377187093
2010-02-11,7.053333282470703,6.972737789154053,6.850118637084961,7.175952434539795,7.256547927856445
2010-02-12,7.113333543141683,7.025238196055094,6.894047578175862,7.244524161020914,7.332619508107503
